Date,VWIGX Equity,VFINX Equity
6/1/2015,-0.011387082,0.024967732
7/1/2015,-0.077303835,-0.062325924
8/1/2015,-0.050784702,-0.030314751
9/1/2015,0.087986314,0.08575147
10/1/2015,0.004570636,0.002859799
11/1/2015,-0.038649286,-0.021742274
12/1/2015,-0.066275528,-0.045709451
1/1/2016,-0.017218891,-0.001586496
2/1/2016,0.076105759,0.060205164
3/1/2016,0.019366484,0.008555387
4/1/2016,-0.00112423,0.017497023
5/1/2016,-0.01404922,-0.002401287
6/1/2016,0.054062558,0.040562346
7/1/2016,0.020095442,0.001077664
8/1/2016,0.027528024,-0.004420138
9/1/2016,-0.031617173,-0.014444306
10/1/2016,-0.041437534,0.03608082
11/1/2016,-0.010144819,0.013167831
12/1/2016,0.082460417,0.024226461
1/1/2017,0.00920739,0.038437415
2/1/2017,0.038871279,-0.0038669
3/1/2017,0.041000224,0.014067018
4/1/2017,0.049534169,0.013207943
5/1/2017,0.005051132,0.001167724
6/1/2017,0.051388709,0.023663739
7/1/2017,0.022672614,0.002072024
8/1/2017,0.024505699,0.014621948
9/1/2017,0.021914055,0.026944143
10/1/2017,0.006810673,0.029251654
11/1/2017,4.12802E-05,0.005464184
12/1/2017,0.094429122,0.059031323
1/1/2018,-0.043544792,-0.038843279
2/1/2018,-0.01242153,-0.031354829
3/1/2018,-0.003952953,0.006555032
4/1/2018,0.009474307,0.022222707
5/1/2018,-0.00347462,7.79E-05
6/1/2018,0.013316253,0.039172937
7/1/2018,-0.017490448,0.030339882
8/1/2018,-0.016204226,-0.000426037
9/1/2018,-0.114435975,-0.068447456
10/1/2018,0.022248212,0.018240559
11/1/2018,-0.124936307,-0.101788815
12/1/2018,0.130596359,0.079999998
1/1/2019,0.039655834,0.02946407
2/1/2019,0.014196894,0.011852928
3/1/2019,0.041713069,0.042882313
4/1/2019,-0.092969718,-0.06775967
5/1/2019,0.076496999,0.061089475
6/1/2019,-0.01834466,0.017050234
7/1/2019,-0.027921793,-0.017804195
8/1/2019,0.010210687,0.01223444
9/1/2019,0.040393367,0.024144258
10/1/2019,0.034275998,0.033998928
11/1/2019,0.041707674,0.023746268
12/1/2019,-0.004257822,0.002778341
1/1/2020,-0.03972015,-0.087298987
2/1/2020,-0.116384074,-0.137746936
3/1/2020,0.105510802,0.12356342
4/1/2020,0.088098869,0.046371022
5/1/2020,0.09009688,0.01464191
6/1/2020,0.083353101,0.059377489
7/1/2020,0.084382931,0.071274287
8/1/2020,-0.01769556,-0.045001597
9/1/2020,-0.004605272,-0.023124769
10/1/2020,0.142366602,0.092260777
