Date,VUSTX Equity,VFINX Equity
8/1/2018,-0.029502392,-0.000426037
9/1/2018,-0.030523317,-0.068447456
10/1/2018,0.015935354,0.018240559
11/1/2018,0.05171504,-0.101788815
12/1/2018,0.003020113,0.079999998
1/1/2019,-0.01494905,0.02946407
2/1/2019,0.051034983,0.011852928
3/1/2019,-0.02106119,0.042882313
4/1/2019,0.062469149,-0.06775967
5/1/2019,0.008135614,0.061089475
6/1/2019,0.000292528,0.017050234
7/1/2019,0.09995432,-0.017804195
8/1/2019,-0.028307116,0.01223444
9/1/2019,-0.012782928,0.024144258
10/1/2019,-0.005431203,0.033998928
11/1/2019,-0.034567043,0.023746268
12/1/2019,0.071926185,0.002778341
1/1/2020,0.062738189,-0.087298987
2/1/2020,0.045541128,-0.137746936
3/1/2020,0.025435448,0.12356342
4/1/2020,-0.017003604,0.046371022
5/1/2020,0.004033689,0.01464191
6/1/2020,0.040814052,0.059377489
7/1/2020,-0.048463044,0.071274287
8/1/2020,0.007854542,-0.045001597
9/1/2020,-0.032615732,-0.023124769
10/1/2020,0.01520391,0.092260777
