Date,VEIEX Equity,VFINX Equity
5/1/2015,-0.032909662,-0.023937194
6/1/2015,-0.061758072,0.024967732
7/1/2015,-0.097879762,-0.062325924
8/1/2015,-0.046153244,-0.030314751
9/1/2015,0.067238654,0.08575147
10/1/2015,-0.033030549,0.002859799
11/1/2015,-0.029891083,-0.021742274
12/1/2015,-0.057624917,-0.045709451
1/1/2016,-0.008862614,-0.001586496
2/1/2016,0.120997568,0.060205164
3/1/2016,0.008785071,0.008555387
4/1/2016,-0.034764344,0.017497023
5/1/2016,0.042982188,-0.002401287
6/1/2016,0.051353088,0.040562346
7/1/2016,0.016390209,0.001077664
8/1/2016,0.00061064,-0.004420138
9/1/2016,0.017829019,-0.014444306
10/1/2016,-0.044826949,0.03608082
11/1/2016,-0.005998843,0.013167831
12/1/2016,0.051884774,0.024226461
1/1/2017,0.031822866,0.038437415
2/1/2017,0.02050134,-0.0038669
3/1/2017,0.014742079,0.014067018
4/1/2017,0.011474199,0.013207943
5/1/2017,0.001272396,0.001167724
6/1/2017,0.057031843,0.023663739
7/1/2017,0.029211223,0.002072024
8/1/2017,-0.019987577,0.014621948
9/1/2017,0.034455575,0.026944143
10/1/2017,0.000891057,0.029251654
11/1/2017,0.029416238,0.005464184
12/1/2017,0.083774531,0.059031323
1/1/2018,-0.049582912,-0.038843279
2/1/2018,-0.014625547,-0.031354829
3/1/2018,-0.02110421,0.006555032
4/1/2018,-0.030114016,0.022222707
5/1/2018,-0.053616133,7.79E-05
6/1/2018,0.035566713,0.039172937
7/1/2018,-0.037746654,0.030339882
8/1/2018,-0.026016786,-0.000426037
9/1/2018,-0.069399906,-0.068447456
10/1/2018,0.041759088,0.018240559
11/1/2018,-0.038478135,-0.101788815
12/1/2018,0.086080837,0.079999998
1/1/2019,0.004415725,0.02946407
2/1/2019,0.015254834,0.011852928
3/1/2019,0.02016061,0.042882313
4/1/2019,-0.06867682,-0.06775967
5/1/2019,0.044408465,0.061089475
6/1/2019,-0.007576994,0.017050234
7/1/2019,-0.040127904,-0.017804195
8/1/2019,-0.000559365,0.01223444
9/1/2019,0.048269438,0.024144258
10/1/2019,-6.24E-05,0.033998928
11/1/2019,0.053871275,0.023746268
12/1/2019,-0.040968225,0.002778341
1/1/2020,-0.039045683,-0.087298987
2/1/2020,-0.19494716,-0.137746936
3/1/2020,0.088811014,0.12356342
4/1/2020,0.022946797,0.046371022
5/1/2020,0.065227677,0.01464191
6/1/2020,0.08412879,0.059377489
7/1/2020,0.02221803,0.071274287
8/1/2020,-0.026078629,-0.045001597
9/1/2020,0.028293377,-0.023124769
10/1/2020,0.078909676,0.092260777
